"session","created","modified","ended","expired","prpid","topic","group","plotx_01","plotx_02","plotx_03","plotx_04","plotx_05","plotx_06","plotx_07","plotx_08","plotx_09","plotx_10","plotx_11","plotx_12","plotx_13","plotx_14","plotx_15","plotx_16","plotx_17","plotx_18","plotx_19","plotx_20","itemo","conse","diffi_01","sensi_01","acccl_01","accu3_01","accov_01","infor_01","value_01","diffi_02","sensi_02","acccl_02","accu3_02","accov_02","infor_02","value_02","diffi_03","sensi_03","acccl_03","accu3_03","accov_03","infor_03","value_03","diffi_04","sensi_04","acccl_04","accu3_04","accov_04","infor_04","value_04","diffi_05","sensi_05","acccl_05","accu3_05","accov_05","infor_05","value_05","diffi_06","sensi_06","acccl_06","accu3_06","accov_06","infor_06","value_06","diffi_07","sensi_07","acccl_07","accu3_07","accov_07","infor_07","value_07","diffi_08","sensi_08","acccl_08","accu3_08","accov_08","infor_08","value_08","diffi_09","sensi_09","acccl_09","accu3_09","accov_09","infor_09","value_09","diffi_10","sensi_10","acccl_10","accu3_10","accov_10","infor_10","value_10","attention_check","diffi_11","sensi_11","acccl_11","accu3_11","accov_11","infor_11","value_11","diffi_12","sensi_12","acccl_12","accu3_12","accov_12","infor_12","value_12","diffi_13","sensi_13","acccl_13","accu3_13","accov_13","infor_13","value_13","diffi_14","sensi_14","acccl_14","accu3_14","accov_14","infor_14","value_14","diffi_15","sensi_15","acccl_15","accu3_15","accov_15","infor_15","value_15","diffi_16","sensi_16","acccl_16","accu3_16","accov_16","infor_16","value_16","diffi_17","sensi_17","acccl_17","accu3_17","accov_17","infor_17","value_17","diffi_18","sensi_18","acccl_18","accu3_18","accov_18","infor_18","value_18","diffi_19","sensi_19","acccl_19","accu3_19","accov_19","infor_19","value_19","diffi_20","sensi_20","acccl_20","accu3_20","accov_20","infor_20","value_20","check_01","check_02","umean_1x","umean_2x","umean_1y","umean_2y","uvary_2x","uvary_2y","uxaxs_1x","uyaxs_1x","uxaxs_1y","uyaxs_1y","mcstu","mcsto","mcsub","texpe"
"WweoRKW63vEQIJse032J71flfAszUK7WHQHMySWYdhnTNxScGXFNm51gj7hS5iIS","2023-11-09 12:46:19","2023-11-09 12:53:55","","","5ec79d5d4f89b82002134fe1","experiment_simulation_vs_lab","cg","halfeye_xaxis_-0.2","halfeye_yaxis_0.65","halfeye_yaxis_0.8","halfeye_xaxis_-0.5","halfeye_xaxis_0.5","halfeye_xaxis_0.8","halfeye_yaxis_-0.2","halfeye_yaxis_0.2","halfeye_xaxis_-0.8","halfeye_yaxis_-0.8","halfeye_yaxis_0.5","halfeye_yaxis_-0.65","halfeye_yaxis_-0.5","halfeye_yaxis_-0.35","halfeye_xaxis_0.2","halfeye_xaxis_-0.35","halfeye_yaxis_0.35","halfeye_xaxis_0.65","halfeye_xaxis_-0.65","halfeye_xaxis_0.35","accuracy_sensitivity","1","7","","-0.6","40","85","5","6","7","","0.8","60","57","6","6","6","","0.6","20","60","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Td2YbZRp6TjkaB0kG7WRXD4qbdwppkRdB8nHP1F3Oujw5u9ZH2HjM-CamFQ89TPN","2023-11-09 12:48:54","2023-11-09 12:51:07","","","5ce2a924feca320001f93ee7","lesson_live_vs_video","cg","halfeye_yaxis_-0.2","halfeye_xaxis_-0.2","halfeye_yaxis_-0.5","halfeye_xaxis_-0.8","halfeye_xaxis_-0.5","halfeye_xaxis_0.35","halfeye_yaxis_0.65","halfeye_xaxis_0.2","halfeye_xaxis_0.5","halfeye_xaxis_0.65","halfeye_yaxis_0.5","halfeye_xaxis_0.8","halfeye_xaxis_-0.35","halfeye_yaxis_-0.35","halfeye_yaxis_-0.65","halfeye_yaxis_0.2","halfeye_yaxis_0.35","halfeye_yaxis_0.8","halfeye_xaxis_-0.65","halfeye_yaxis_-0.8","sensitivity_accuracy","1","6","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"khTvTaKzWdUeHBRlHl8sRzmjuAjAc6nxmYj7uk-zEK1FiZeQxHP9VPqCGoxFCSM9","2023-11-09 12:54:35","2023-11-09 12:57:42","","","599186630675b100014daddd","reading_digital_vs_analog","eg_signaling_overlap","halfeye_xaxis_0.2","halfeye_xaxis_-0.5","halfeye_xaxis_0.5","halfeye_xaxis_-0.65","halfeye_xaxis_0.65","halfeye_xaxis_0.8","halfeye_yaxis_-0.2","halfeye_yaxis_0.8","halfeye_yaxis_0.35","halfeye_yaxis_-0.65","halfeye_yaxis_0.2","halfeye_yaxis_-0.8","halfeye_xaxis_-0.8","halfeye_xaxis_-0.2","halfeye_xaxis_0.35","halfeye_yaxis_0.5","halfeye_yaxis_-0.35","halfeye_yaxis_0.65","halfeye_xaxis_-0.35","halfeye_yaxis_-0.5","accuracy_sensitivity","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NqpH177gWatwRKFvs2KzTXthvl3nb38v7BQSbWOPuyuqWseiTrEKQaqVhwmG4sQS","2023-11-09 12:54:54","2023-11-09 12:56:20","","","5b22feee1eef1b00016f402d","video_withsub_vs_without","cg","halfeye_xaxis_-0.2","halfeye_xaxis_-0.8","halfeye_xaxis_0.2","halfeye_xaxis_0.5","halfeye_yaxis_-0.8","halfeye_xaxis_0.65","halfeye_yaxis_0.35","halfeye_yaxis_0.5","halfeye_yaxis_-0.35","halfeye_yaxis_0.8","halfeye_yaxis_0.65","halfeye_yaxis_0.2","halfeye_xaxis_0.35","halfeye_yaxis_-0.5","halfeye_yaxis_-0.65","halfeye_yaxis_-0.2","halfeye_xaxis_-0.35","halfeye_xaxis_-0.65","halfeye_xaxis_-0.5","halfeye_xaxis_0.8","accuracy_sensitivity","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ao9h5zeLd3K9B1M-Ek_VeiiSMvpoPIqK3Q6TzauvRqtYpAH5B63XzAUwMHLX8u1I","2023-11-09 12:55:11","2023-11-09 13:14:59","2023-11-09 13:14:59","","5d9de192a26f37001211d3cf","lesson_live_vs_video","eg_signaling_overlap","halfeye_yaxis_0.5","halfeye_yaxis_0.35","halfeye_xaxis_-0.8","halfeye_yaxis_-0.8","halfeye_xaxis_-0.2","halfeye_xaxis_-0.35","halfeye_xaxis_0.35","halfeye_yaxis_-0.35","halfeye_xaxis_-0.65","halfeye_yaxis_-0.2","halfeye_yaxis_0.2","halfeye_xaxis_0.5","halfeye_xaxis_0.65","halfeye_yaxis_0.8","halfeye_yaxis_-0.65","halfeye_xaxis_0.8","halfeye_xaxis_0.2","halfeye_yaxis_0.65","halfeye_xaxis_-0.5","halfeye_yaxis_-0.5","accuracy_sensitivity","1","6","","0.2","65","70","5","5","6","","0.2","80","85","5","5","6","","-0.2","40","60","7","6","5","","-0.2","40","60","5","5","6","","0","45","95","5","5","6","","-0.2","40","90","6","6","6","","0.2","65","90","6","6","5","","0.2","40","90","5","5","6","","-0.2","20","80","6","6","5","","0","45","95","5","5","","5","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","5","5","6","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","6","6","7","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","6","6","6","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","5","5","6","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","6","6","7","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","7","6","6","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","6","6","5","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","5","5","6","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","6","6","5","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","5","5","4","","5","3","2","5","1","1","probability density, probability, number of scores","score","score","probability density, probability, number of scores","6","university","1, 3","5"
"0rndopRV3_JQkaO73dyYwxxZ1HKJsiaIghXimvYHXkInuV96WVI0VEHsl74nNfQK","2023-11-09 12:55:12","2023-11-09 13:11:59","2023-11-09 13:11:59","","5ea1965fc546e204bb568292","lesson_live_vs_video","eg_signaling_overlap","halfeye_xaxis_-0.5","halfeye_xaxis_-0.65","halfeye_yaxis_0.5","halfeye_yaxis_0.65","halfeye_yaxis_0.2","halfeye_yaxis_-0.5","halfeye_yaxis_0.8","halfeye_xaxis_0.65","halfeye_yaxis_-0.8","halfeye_xaxis_-0.35","halfeye_yaxis_-0.35","halfeye_yaxis_-0.65","halfeye_yaxis_-0.2","halfeye_xaxis_0.5","halfeye_xaxis_0.2","halfeye_xaxis_-0.2","halfeye_xaxis_0.35","halfeye_xaxis_-0.8","halfeye_xaxis_0.8","halfeye_yaxis_0.35","sensitivity_accuracy","1","2","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","3","4","2","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","2","4","2","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","3","4","5","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","4","4","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","4","5","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","4","5","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","5","4","5","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","4","5","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","4","3","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","4","","5","","-0.4","10","80","4","4","5","","-0.6","19","61","4","4","5","","-0.2","5","90","3","4","4","","0.4","10","80","4","4","3","","0.2","3","85","3","3","3","","-0.2","5","90","3","3","4","","0.4","0","80","4","4","2","","-0.6","10","75","4","3","5","","0.6","20","65","5","3","3","","0.2","0","90","3","3","3","","5","3","4","4","1","1","variation in group","test score","test score","variation in group","2","","3","1.5"
"UQLHgM_CHQnxYMmejCoL4EK6R1GQmtGHTxtSe78NbtwYJ9oad5w7Zyq1pLqlnM1b","2023-11-09 12:56:03","2023-11-09 13:23:48","2023-11-09 13:23:48","","5dd3fd76b48da33ea5a00fb4","lesson_live_vs_video","eg_benchmark","halfeye_xaxis_-0.5","halfeye_xaxis_0.2","halfeye_yaxis_0.8","halfeye_xaxis_0.65","halfeye_yaxis_-0.35","halfeye_yaxis_-0.2","halfeye_yaxis_-0.65","halfeye_xaxis_0.8","halfeye_xaxis_-0.2","halfeye_yaxis_0.65","halfeye_xaxis_-0.35","halfeye_yaxis_0.35","halfeye_yaxis_0.5","halfeye_yaxis_-0.5","halfeye_xaxis_0.5","halfeye_yaxis_-0.8","halfeye_yaxis_0.2","halfeye_xaxis_0.35","halfeye_xaxis_-0.65","halfeye_xaxis_-0.8","sensitivity_accuracy","1","3","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","3","2","3","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","3","2","4","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","3","3","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","3","2","4","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","4","3","4","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","4","3","4","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","3","3","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","4","3","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","3","2","4","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","3","","4","","-0.2","0","95","3","2","4","","0.2","5","90","4","3","5","","0.4","10","80","4","3","5","","-0.2","5","90","4","3","5","","0.4","10","80","3","3","5","","0.4","0","75","4","3","5","","0","5","90","4","3","5","","0.2","10","90","3","2","5","","-0.6","0","20","4","2","5","","-0.4","0","15","4","3","","5","5","3","2","5","1","1","The number of students","The knowledge test score","The knowledge test score","The number of students","3","","1","19"
"BTAF5oWz-uEBUtQFkWG-SYtMNWOS-X6T_Bco2-RRm48-di5I8bWdUR8QBEWzrW68","2023-11-09 12:56:20","2023-11-09 13:14:11","2023-11-09 13:14:11","","5e8e06cbdf10df0a811b6f29","experiment_simulation_vs_lab","cg","halfeye_xaxis_-0.8","halfeye_yaxis_0.8","halfeye_yaxis_0.5","halfeye_yaxis_-0.65","halfeye_xaxis_-0.65","halfeye_xaxis_-0.35","halfeye_xaxis_0.2","halfeye_yaxis_-0.2","halfeye_yaxis_0.35","halfeye_xaxis_-0.2","halfeye_yaxis_0.65","halfeye_xaxis_0.8","halfeye_yaxis_0.2","halfeye_xaxis_-0.5","halfeye_yaxis_-0.5","halfeye_yaxis_-0.8","halfeye_xaxis_0.35","halfeye_xaxis_0.65","halfeye_xaxis_0.5","halfeye_yaxis_-0.35","sensitivity_accuracy","1","3","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","5","3","3","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","3","3","3","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","3","3","4","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","3","5","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","3","4","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","5","4","4","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","3","4","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","4","4","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","4","3","5","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","4","4","","5","","0.4","55","10","4","4","4","","0.6","35","50","4","3","3","","0.4","2","45","3","2","4","","-0.6","0","50","3","2","3","","-0.8","0","50","3","2","3","","-0.6","10","40","3","2","4","","0.6","2","45","4","2","4","","0.8","2","45","4","3","4","","0.6","2","45","4","3","3","","-0.6","0","45","3","2","","","5","3","2","5","1","1","median score","test score","test score","median score","2","","3","2"
"uM-Zs40IcoEyPOqWEbpvYDfEfM6FBfdc5jT0-sM_cv29cKc1PJfgveq0OeRhfehq","2023-11-09 12:56:38","2023-11-09 13:12:53","2023-11-09 13:12:53","","60626abf4a5419405d7fed55","reading_digital_vs_analog","eg_signaling_u3","halfeye_yaxis_-0.65","halfeye_yaxis_-0.5","halfeye_xaxis_0.5","halfeye_yaxis_0.8","halfeye_yaxis_0.5","halfeye_xaxis_-0.65","halfeye_xaxis_0.8","halfeye_xaxis_-0.5","halfeye_yaxis_0.2","halfeye_yaxis_0.35","halfeye_yaxis_-0.35","halfeye_xaxis_-0.35","halfeye_xaxis_0.2","halfeye_xaxis_0.35","halfeye_xaxis_-0.8","halfeye_yaxis_-0.8","halfeye_xaxis_0.65","halfeye_yaxis_0.65","halfeye_xaxis_-0.2","halfeye_yaxis_-0.2","accuracy_sensitivity","1","2","","-0.4","40","30","3","1","1","","-0.2","40","30","2","2","2","","0.4","60","50","3","3","4","","0.6","80","50","3","3","3","","0.6","80","50","2","2","3","","-0.4","30","30","2","2","3","","0.4","80","40","2","2","2","","-0.2","30","40","2","2","2","","0.2","55","50","2","2","2","","0.2","60","50","2","2","1","2","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","2","2","2","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","2","2","2","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","2","2","3","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","2","3","3","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","2","2","3","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","2","2","3","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","3","3","4","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","3","3","4","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","3","3","3","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","3","3","5","","5","3","2","5","1","1","amount of students","test score","test score","amount of students","6","College","3","5"
"0Kf9aeMAIJuyWXyMTj_A57W0zbs1Cg2Yfc8lvWusL78aFFac5-VqUZiP8sEiQQ0N","2023-11-09 12:56:52","2023-11-09 13:25:45","2023-11-09 13:25:45","","5f91f00bfb9afc0e72142aac","reading_digital_vs_analog","cg","halfeye_xaxis_0.5","halfeye_yaxis_0.5","halfeye_xaxis_-0.65","halfeye_yaxis_0.2","halfeye_xaxis_0.2","halfeye_yaxis_0.65","halfeye_yaxis_-0.35","halfeye_yaxis_0.8","halfeye_yaxis_0.35","halfeye_yaxis_-0.8","halfeye_xaxis_0.65","halfeye_yaxis_-0.5","halfeye_yaxis_-0.65","halfeye_xaxis_-0.8","halfeye_xaxis_-0.2","halfeye_xaxis_-0.35","halfeye_yaxis_-0.2","halfeye_xaxis_0.35","halfeye_xaxis_0.8","halfeye_xaxis_-0.5","sensitivity_accuracy","1","3","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","5","4","5","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","5","4","5","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","5","4","6","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","5","5","5","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","6","5","7","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","6","6","5","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","5","5","7","sensitivity_tablet_livelesson_simulation_videowithsub_inferior","","","","7","7","5","sensitivity_tablet_livelesson_simulation_videowithsub_equal","","","","4","5","7","sensitivity_tablet_livelesson_simulation_videowithsub_superior","","","","7","7","","5","","0.2","20","30","2","3","4","","-0.4","20","30","3","3","5","","0.4","20","10","3","3","5","","-0.4","25","25","2","2","3","","0","3","50","4","4","4","","-0.2","10","30","3","3","2","","0","5","60","5","5","5","","0.2","10","20","4","5","5","","0.2","10","30","6","6","6","","-0.4","10","35","5","5","","","5","3","2","5","1","1","This means that the biggest amount of students got around 50% for the test","What percentage did the students earn during the test","This describes how much did the students get from the test","This describes the amount of students that got the result","6","university","3","8"
